a          b          c          s          t          d
==========================================================
3          4          5          1          2          1
20          21          29          2          5          1
119          120          169          5          12          1
696          697          985          12          29          1
5          12          13          2          3          7
8          15          17          1          4          7
48          55          73          3          8          7
65          72          97          4          9          7
297          304          425          8          19          7
396          403          565          9          22          7
7          24          25          3          4          17
28          45          53          2          7          17
88          105          137          4          11          17
207          224          305          7          16          17
555          572          797          11          26          17
12          35          37          1          6          23
33          56          65          4          7          23
133          156          205          6          13          23
252          275          373          7          18          23
832          855          1193          13          32          23
9          40          41          4          5          31
60          91          109          3          10          31
140          171          221          5          14          31
429          460          629          10          23          31
893          924          1285          14          33          31
36          77          85          2          9          41
39          80          89          5          8          41
319          360          481          9          20          41
336          377          505          8          21          41
16          63          65          1          8          47
85          132          157          6          11          47
225          272          353          8          17          47
616          663          905          11          28          47
11          60          61          5          6          49
104          153          185          4          13          49
204          253          325          6          17          49
731          780          1069          13          30          49
13          84          85          6          7          71
160          231          281          5          16          71
280          351          449          7          20          71
44          117          125          2          11          73
95          168          193          7          12          73
455          528          697          11          24          73
744          817          1105          12          31          73
20          99          101          1          10          79
161          240          289          8          15          79
341          420          541          10          21          79
51          140          149          7          10          89
120          209          241          4          15          89
540          629          829          10          27          89
931          1020          1381          15          34          89
15          112          113          7          8          97
228          325          397          6          19          97
368          465          593          8          23          97
84          187          205          3          14          103
105          208          233          8          13          103
765          868          1157          14          31          103
884          987          1325          13          34          103
52          165          173          2          13          113
175          288          337          9          16          113
615          728          953          13          28          113
24          143          145          1          12          119
57          176          185          8          11          119
180          299          349          5          18          119
261          380          461          10          19          119
481          600          769          12          25          119
660          779          1021          11          30          119
17          144          145          8          9          127
308          435          533          7          22          127
468          595          757          9          26          127
115          252          277          9          14          137
136          273          305          4          17          137
96          247          265          3          16          151
189          340          389          10          17          151
969          1120          1481          16          35          151
19          180          181          9          10          161
60          221          229          2          15          161
279          440          521          11          20          161
400          561          689          8          25          161
580          741          941          10          29          161
799          960          1249          15          32          161
28          195          197          1          14          167
385          552          673          12          23          167
645          812          1037          14          29          167
69          260          269          10          13          191
336          527          625          7          24          191
936          1127          1465          13          36          191
152          345          377          4          19          193
203          396          445          11          18          193
21          220          221          10          11          199
504          703          865          9          28          199
704          903          1145          11          32          199
68          285          293          2          17          217
135          352          377          11          16          217
276          493          565          6          23          217
407          624          745          13          24          217
32          255          257          1          16          223
533          756          925          14          27          223
833          1056          1345          16          33          223
75          308          317          11          14          233
432          665          793          8          27          233
217          456          505          12          19          239
220          459          509          5          22          239
23          264          265          11          12          241
620          861          1061          10          31          241
840          1081          1369          12          35          241
168          425          457          4          21          257
315          572          653          13          22          257
145          408          433          12          17          263
364          627          725          7          26          263
120          391          409          3          20          271
429          700          821          14          25          271
76          357          365          2          19          281
559          840          1009          15          28          281
25          312          313          12          13          287
36          323          325          1          18          287
705          992          1217          16          31          287
748          1035          1277          11          34          287
988          1275          1613          13          38          287
231          520          569          13          20          289
300          589          661          6          25          289
240          551          601          5          24          311
333          644          725          14          23          311
155          468          493          13          18          313
464          777          905          8          29          313
87          416          425          13          16          329
184          513          545          4          23          329
451          780          901          15          26          329
660          989          1189          10          33          329
27          364          365          13          14          337
888          1225          1513          12          37          337
132          475          493          3          22          343
585          928          1097          16          29          343
84          437          445          2          21          353
735          1088          1313          17          32          353
40          399          401          1          20          359
901          1260          1549          18          35          359
165          532          557          14          19          367
576          943          1105          9          32          367
93          476          485          14          17          383
792          1175          1417          11          36          383
29          420          421          14          15          391
260          651          701          5          26          391
473          864          985          16          27          391
259          660          709          15          22          401
496          897          1025          8          31          401
200          609          641          4          25          409
611          1020          1189          17          30          409
369          800          881          16          25          431
420          851          949          7          30          431
92          525          533          2          23          433
935          1368          1657          19          36          433
44          483          485          1          22          439
31          480          481          15          16          449
348          805          877          6          29          457
